scenario,rho,method,param,N,bias,ESD,mean_SE,median_SE,coverage,coverage_MCSE
informative_H,0.1,PR_MLE,beta1,500,0.32084039575125395,0.10734122117995042,0.10420400214111049,0.10432576977625865,0.146,0.015791390059142988
informative_H,0.1,PR_MLE,beta2,500,-0.40045336992542313,0.12710185161469928,0.11624164969221701,0.11578287160968755,0.104,0.013651666564928987
informative_H,0.1,PR_MLE,beta3,500,0.24297865017064688,0.09289357103848835,0.09298673641548873,0.09254594162995745,0.254,0.019467100451787882
informative_H,0.2,DR_CF,alpha0,500,-0.012756294211496731,0.11776599237363977,0.1031772833626229,0.09318481316738055,0.908,0.012925633446759966
informative_H,0.2,DR_CF,alpha1,500,0.019556685111061043,0.15496543170639895,0.12370440304880476,0.10654624003443186,0.912,0.012669333052690657
informative_H,0.2,DR_CF,alpha2,500,-0.010593213599957959,0.102051959638052,0.09792781225378111,0.0869084269531581,0.946,0.010107818755794947
informative_H,0.2,DR_CF,alpha3,500,0.005786380032719225,0.10477455895767772,0.09790928675672551,0.08488612333940401,0.944,0.010282412168358165
informative_H,0.2,DR_CF,beta0,500,0.044992506559612094,0.2093290355067816,0.17864765850253378,0.1650297833449862,0.896,0.013651666564928987
informative_H,0.2,DR_CF,beta1,500,-0.01731038132819199,0.14317426169010491,0.13130598792661657,0.12034796877124554,0.928,0.0115599307956406
informative_H,0.2,DR_CF,beta2,500,0.038455288421318075,0.168586886536504,0.14783545299542006,0.1337310740381846,0.902,0.013296315279053816
informative_H,0.2,DR_CF,beta3,500,-0.017328058573156488,0.1225322278982481,0.11195648730039268,0.1068789332973969,0.932,0.01125841907196565
informative_H,0.2,PR_MLE,alpha0,500,0.9978614780069707,0.14368732067812326,0.12498433857100595,0.1242438203128681,0.0,0.0
informative_H,0.2,PR_MLE,alpha1,500,-0.2915308690484726,0.11927869796335727,0.11499004096739715,0.1148216300630759,0.302,0.020532705618110828
informative_H,0.2,PR_MLE,alpha2,500,-0.1550320934989441,0.10322738925868435,0.09868719786219513,0.0983630560533596,0.652,0.02130239423163509
informative_H,0.2,PR_MLE,alpha3,500,0.19253247399537787,0.09749905291660602,0.09552489987543482,0.0951046786258812,0.506,0.02235906974809104
informative_H,0.2,PR_MLE,beta0,500,-1.0104836201001515,0.1401361342305386,0.12341865356961938,0.12332878631489799,0.0,0.0
informative_H,0.2,PR_MLE,beta1,500,0.3538795954848921,0.09761961658929898,0.09505126473840195,0.0950589596089019,0.052,0.00992935043192655
informative_H,0.2,PR_MLE,beta2,500,-0.39271182655429265,0.11696880335420126,0.1052613914498123,0.10495163184717354,0.066,0.011103512957618413
informative_H,0.2,PR_MLE,beta3,500,0.19087876225427072,0.08623619293653619,0.0865599308658285,0.0863950643166222,0.394,0.021852414054287
